month,demand_deposit,term_3m,term_6m,term_1y,term_2y,term_3y,term_5y,source_effective_date,source_url
2018-01,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-02,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-03,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-04,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-05,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-06,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-07,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-08,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-09,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-10,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-11,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2018-12,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-01,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-02,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-03,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-04,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-05,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-06,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-07,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-08,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-09,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-10,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-11,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2019-12,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-01,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-02,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-03,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-04,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-05,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-06,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-07,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-08,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-09,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-10,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-11,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2020-12,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-01,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-02,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-03,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-04,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-05,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-06,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-07,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-08,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-09,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-10,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-11,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2021-12,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2022-01,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2022-02,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2022-03,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2022-04,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2022-05,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2022-06,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2022-07,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2022-08,0.30,1.35,1.55,1.75,2.25,2.75,2.75,2015-10-24,https://www.boc.cn/fimarkets/lilv/fd31/201510/t20151023_5824963.html
2022-09,0.25,1.25,1.45,1.65,2.15,2.60,2.65,2022-09-15,https://www.boc.cn/fimarkets/lilv/fd31/202209/t20220915_21788988.html
2022-10,0.25,1.25,1.45,1.65,2.15,2.60,2.65,2022-09-15,https://www.boc.cn/fimarkets/lilv/fd31/202209/t20220915_21788988.html
2022-11,0.25,1.25,1.45,1.65,2.15,2.60,2.65,2022-09-15,https://www.boc.cn/fimarkets/lilv/fd31/202209/t20220915_21788988.html
2022-12,0.25,1.25,1.45,1.65,2.15,2.60,2.65,2022-09-15,https://www.boc.cn/fimarkets/lilv/fd31/202209/t20220915_21788988.html
2023-01,0.25,1.25,1.45,1.65,2.15,2.60,2.65,2022-09-15,https://www.boc.cn/fimarkets/lilv/fd31/202209/t20220915_21788988.html
2023-02,0.25,1.25,1.45,1.65,2.15,2.60,2.65,2022-09-15,https://www.boc.cn/fimarkets/lilv/fd31/202209/t20220915_21788988.html
2023-03,0.25,1.25,1.45,1.65,2.15,2.60,2.65,2022-09-15,https://www.boc.cn/fimarkets/lilv/fd31/202209/t20220915_21788988.html
2023-04,0.25,1.25,1.45,1.65,2.15,2.60,2.65,2022-09-15,https://www.boc.cn/fimarkets/lilv/fd31/202209/t20220915_21788988.html
2023-05,0.25,1.25,1.45,1.65,2.15,2.60,2.65,2022-09-15,https://www.boc.cn/fimarkets/lilv/fd31/202209/t20220915_21788988.html
2023-06,0.20,1.25,1.45,1.65,2.05,2.45,2.50,2023-06-08,https://www.boc.cn/fimarkets/lilv/fd31/202306/t20230608_23194241.html
2023-07,0.20,1.25,1.45,1.65,2.05,2.45,2.50,2023-06-08,https://www.boc.cn/fimarkets/lilv/fd31/202306/t20230608_23194241.html
2023-08,0.20,1.25,1.45,1.65,2.05,2.45,2.50,2023-06-08,https://www.boc.cn/fimarkets/lilv/fd31/202306/t20230608_23194241.html
2023-09,0.20,1.25,1.45,1.65,2.05,2.45,2.50,2023-06-08,https://www.boc.cn/fimarkets/lilv/fd31/202306/t20230608_23194241.html
2023-10,0.20,1.25,1.45,1.65,2.05,2.45,2.50,2023-06-08,https://www.boc.cn/fimarkets/lilv/fd31/202306/t20230608_23194241.html
2023-11,0.20,1.25,1.45,1.65,2.05,2.45,2.50,2023-06-08,https://www.boc.cn/fimarkets/lilv/fd31/202306/t20230608_23194241.html
2023-12,0.20,1.15,1.35,1.45,1.65,1.95,2.00,2023-12-22,https://www.boc.cn/fimarkets/lilv/fd31/202312/t20231222_24285701.html
2024-01,0.20,1.15,1.35,1.45,1.65,1.95,2.00,2023-12-22,https://www.boc.cn/fimarkets/lilv/fd31/202312/t20231222_24285701.html
2024-02,0.20,1.15,1.35,1.45,1.65,1.95,2.00,2023-12-22,https://www.boc.cn/fimarkets/lilv/fd31/202312/t20231222_24285701.html
2024-03,0.20,1.15,1.35,1.45,1.65,1.95,2.00,2023-12-22,https://www.boc.cn/fimarkets/lilv/fd31/202312/t20231222_24285701.html
2024-04,0.20,1.15,1.35,1.45,1.65,1.95,2.00,2023-12-22,https://www.boc.cn/fimarkets/lilv/fd31/202312/t20231222_24285701.html
2024-05,0.20,1.15,1.35,1.45,1.65,1.95,2.00,2023-12-22,https://www.boc.cn/fimarkets/lilv/fd31/202312/t20231222_24285701.html
2024-06,0.20,1.15,1.35,1.45,1.65,1.95,2.00,2023-12-22,https://www.boc.cn/fimarkets/lilv/fd31/202312/t20231222_24285701.html
2024-07,0.15,1.05,1.25,1.35,1.45,1.75,1.80,2024-07-25,https://www.boc.cn/fimarkets/lilv/fd31/202407/t20240725_25118074.html
2024-08,0.15,1.05,1.25,1.35,1.45,1.75,1.80,2024-07-25,https://www.boc.cn/fimarkets/lilv/fd31/202407/t20240725_25118074.html
2024-09,0.15,1.05,1.25,1.35,1.45,1.75,1.80,2024-07-25,https://www.boc.cn/fimarkets/lilv/fd31/202407/t20240725_25118074.html
