Number	Name	Type	Pin Visibility	Shape	PinGroup	Position	Section
A2	IO_L1P_0	Bidirectional	1	Line		Left	A
B3	IO_L1N_0	Bidirectional	1	Line		Left	A
A3	IO_L2P_0	Bidirectional	1	Line		Left	A
C4	IO_L2N_0	Bidirectional	1	Line		Left	A
B5	IO_L3P_0,LVDSTX_0P	Bidirectional	1	Line		Left	A
C6	IO_L3N_0,LVDSTX_0N	Bidirectional	1	Line		Left	A
A7	IO_L4P_0	Bidirectional	1	Line		Left	A
B7	IO_L4N_0	Bidirectional	1	Line		Left	A
C8	IO_L5P_0	Bidirectional	1	Line		Left	A
B8	IO_L5N_0	Bidirectional	1	Line		Left	A
C9	IO_L6P_0	Bidirectional	1	Line		Left	A
A9	IO_L6N_0	Bidirectional	1	Line		Left	A
A10	IO_L7P_0	Bidirectional	1	Line		Left	A
C11	IO_L7N_0	Bidirectional	1	Line		Left	A
A11	IO_L8P_0	Bidirectional	1	Line		Left	A
B12	IO_L8N_0	Bidirectional	1	Line		Left	A
C12	IO_LE9P_0	Bidirectional	1	Line		Left	A
A12	IO_LE9N_0	Bidirectional	1	Line		Left	A
B13	IO_L7_0,INITN	Bidirectional	1	Line		Left	A
B9	IO_L5_0,JTAGEN	Bidirectional	1	Line		Left	A
A13	IO_L8_0,DONE	Bidirectional	1	Line		Left	A
C10	IO_L6_0,PROGRAMN	Bidirectional	1	Line		Left	A
B4	IO_L2_0,TDI	Bidirectional	1	Line		Left	A
A6	IO_L4_0,TMS	Bidirectional	1	Line		Left	A
A4	IO_L1_0,TDO	Bidirectional	1	Line		Left	A
B6	IO_L3_0,TCK	Bidirectional	1	Line		Left	A
B14	IO_TE1P_1	Bidirectional	1	Line		Left	B
C13	IO_TE1N_1	Bidirectional	1	Line		Left	B
C14	IO_TE2P_1	Bidirectional	1	Line		Left	B
D12	IO_TE2N_1	Bidirectional	1	Line		Left	B
E12	IO_TE3P_1	Bidirectional	1	Line		Left	B
E14	IO_TE3N_1	Bidirectional	1	Line		Left	B
E13	IO_TE4P_1	Bidirectional	1	Line		Left	B
F12	IO_TE4N_1	Bidirectional	1	Line		Left	B
F13	IO_TE5P_1	Bidirectional	1	Line		Left	B
F14	IO_TE5N_1	Bidirectional	1	Line		Left	B
G12	IO_TE6P_1	Bidirectional	1	Line		Left	B
G14	IO_TE6N_1	Bidirectional	1	Line		Left	B
G13	IO_TE7P_1,GCLKIOT_0	Bidirectional	1	Line		Left	B
H12	IO_TE7N_1,GCLKIOT_1	Bidirectional	1	Line		Left	B
