Number	Name	Type	Pin Visibility	Shape	PinGroup	Position	Section
3	ADC0_CH0,IO_L_0	Bidirectional	1	Line		Left	1
6	ADC0_CH1,GCLKIOL_1,LVDSRX_0N,IO_L2N_0	Bidirectional	1	Line		Left	1
7	ADC0_CH2,GCLKIOL_0,LVDSRX_0P,IO_L2P_0	Bidirectional	1	Line		Left	1
9	ADC0_CH3,GCLKIOL_3,LVDSTX_0N,IO_L3N_0	Bidirectional	1	Line		Left	1
10	ADC0_CH4,GCLKIOL_2,LVDSTX_0P,IO_L3P_0	Bidirectional	1	Line		Left	1
5	JTAGEN,IO_L1P_0	Bidirectional	1	Line		Left	1
4	PROGRAMN,IO_L1N_0	Bidirectional	1	Line		Left	1
13	TDI,IO_L5N_0	Bidirectional	1	Line		Left	1
11	TMS,IO_L4N_0	Bidirectional	1	Line		Left	1
14	TDO,IO_L5P_0	Bidirectional	1	Line		Left	1
12	TCK,IO_L4P_0	Bidirectional	1	Line		Left	1
15	D0,IO_BE1P_1	Bidirectional	1	Line		Left	1
16	D1,IO_BE1N_1	Bidirectional	1	Line		Left	1
18	D2,IO_BE2P_1	Bidirectional	1	Line		Left	1
19	D3,IO_BE2N_1	Bidirectional	1	Line		Left	1
21	D4,GCLKIOB_4,IO_BE3P_1	Bidirectional	1	Line		Left	1
22	D5,GCLKIOB_5,IO_BE3N_1	Bidirectional	1	Line		Left	1
24	D6,IO_BE4P_1	Bidirectional	1	Line		Left	1
25	D7,IO_BE4N_1	Bidirectional	1	Line		Left	1
1	VCCAUX_1	Power	1	Line		Left	1
20	VCCAUX_2	Power	1	Line		Left	1
33	VCCAUX_3	Power	1	Line		Left	1
2	ADC_VDDA	Power	1	Line		Left	1
35	VBAT	Power	1	Line		Left	1
49	GND_EPAD	Power	1	Line		Left	1
26	IO_R1P_2	Bidirectional	1	Line		Right	1
27	IO_R1N_2	Bidirectional	1	Line		Right	1
28	IO_R1_2	Bidirectional	1	Line		Right	1
30	SCLK,IO_R2_2	Bidirectional	1	Line		Right	1
34	GPIO4,IO_TE1N_3	Bidirectional	1	Line		Right	1
36	GPIO3,IO_TE1P_3	Bidirectional	1	Line		Right	1
37	GPIO13,IO_TE2N_3	Bidirectional	1	Line		Right	1
38	GPIO12,IO_TE2P_3	Bidirectional	1	Line		Right	1
39	GPIO11,IO_TE3N_3	Bidirectional	1	Line		Right	1
40	GPIO10,IO_TE3P_3	Bidirectional	1	Line		Right	1
41	GPIO9,DPCLKIO_7,ADC1_CH3,IO_TE4N_3	Bidirectional	1	Line		Right	1
42	GPIO8,USRCLK,ADC1_CH2,IO_TE4P_3	Bidirectional	1	Line		Right	1
43	GPIO7,ADC1_CH1,IO_T1_3	Bidirectional	1	Line		Right	1
44	GPIO6,DPCLKIO_8,ADC1_CH0,IO_T2_3	Bidirectional	1	Line		Right	1
45	GPIO5,ADC0_VREF,IO_T3_3	Bidirectional	1	Line		Right	1
46	GPIO0,ADC1_CH4,IO_TE5P_3	Bidirectional	1	Line		Right	1
47	GPIO1,ADC1_VREF,IO_TE5N_3	Bidirectional	1	Line		Right	1
8	VCCIO_0	Power	1	Line		Right	1
17	VCCIO_1_1	Power	1	Line		Right	1
23	VCCIO_1_2	Power	1	Line		Right	1
29	VCCIO_2	Power	1	Line		Right	1
48	VCCIO_3	Power	1	Line		Right	1
31	XTALI	Power	1	Line		Right	1
32	XTALO	Passive	1	Line		Right	1

