Number	Name	Type	Pin Visibility	Shape	PinGroup	Position	Section
D12	VCCIO0_1	Power	1	Line		Left	A
D5	VCCIO0_2	Power	1	Line		Left	A
G9	VCCIO0_3	Power	1	Line		Left	A
G8	VCCIO0_4	Power	1	Line		Left	A
C11	IO_LE1N_0	Bidirectional	1	Line		Left	A
A11	IO_LE1P_0	Bidirectional	1	Line		Left	A
A10	IO_L2N_0	Bidirectional	1	Line		Left	A
B9	IO_L2P_0	Bidirectional	1	Line		Left	A
D9	IO_L3N_0,#NHP	Bidirectional	1	Line		Left	A
F8	IO_L3P_0,#NHP	Bidirectional	1	Line		Left	A
D10	IO_L4P_0	Bidirectional	1	Line		Left	A
E10	IO_L4N_0	Bidirectional	1	Line		Left	A
E8	IO_L5N_0,#NHP	Bidirectional	1	Line		Left	A
F7	IO_L5P_0,#NHP	Bidirectional	1	Line		Left	A
E9	IO_L6N_0,DPCLKIO	Bidirectional	1	Line		Left	A
D8	IO_L6P_0	Bidirectional	1	Line		Left	A
A9	IO_L7P_0,GCLKIOL_0,#NHP	Bidirectional	1	Line		Left	A
C9	IO_L7N_0,GCLKIOL_1,#NHP	Bidirectional	1	Line		Left	A
B6	IO_L8N_0	Bidirectional	1	Line		Left	A
A5	IO_L8P_0	Bidirectional	1	Line		Left	A
C10	IO_L1_0,JTAGEN	Bidirectional	1	Line		Left	A
A13	IO_L2_0,INITN	Bidirectional	1	Line		Left	A
C13	IO_L3_0,DONE	Bidirectional	1	Line		Left	A
B10	IO_L4_0,PROGRAMN	Bidirectional	1	Line		Left	A
A6	IO_L5_0,TDI	Bidirectional	1	Line		Left	A
B8	IO_L6_0,TMS	Bidirectional	1	Line		Left	A
C6	IO_L7_0,TDO	Bidirectional	1	Line		Left	A
A7	IO_L8_0,TCK	Bidirectional	1	Line		Left	A
A8	IO_L9N_0,GCLKIOL_3,#NHP	Bidirectional	1	Line		Right	A
C8	IO_L9P_0,GCLKIOL_2,#NHP	Bidirectional	1	Line		Right	A
B7	IO_L10P_0	Bidirectional	1	Line		Right	A
C7	IO_L10N_0	Bidirectional	1	Line		Right	A
E6	IO_L11P_0,DPCLKIO	Bidirectional	1	Line		Right	A
D7	IO_L11N_0	Bidirectional	1	Line		Right	A
E7	IO_L12N_0	Bidirectional	1	Line		Right	A
D6	IO_L12P_0	Bidirectional	1	Line		Right	A
C5	IO_L13N_0	Bidirectional	1	Line		Right	A
A4	IO_L13P_0	Bidirectional	1	Line		Right	A
C4	IO_L14P_0	Bidirectional	1	Line		Right	A
B5	IO_L14N_0	Bidirectional	1	Line		Right	A
B4	IO_L15N_0	Bidirectional	1	Line		Right	A
A3	IO_L15P_0	Bidirectional	1	Line		Right	A
B3	IO_L9_0	Bidirectional	1	Line		Right	A
A15	IO_TE1N_0	Bidirectional	1	Line		Right	A
B14	IO_TE1P_0	Bidirectional	1	Line		Right	A
A14	IO_TE2N_0	Bidirectional	1	Line		Right	A
B13	IO_TE2P_0	Bidirectional	1	Line		Right	A
B12	IO_TE3N_0	Bidirectional	1	Line		Right	A
C12	IO_TE3P_0	Bidirectional	1	Line		Right	A
A12	IO_TE4N_0	Bidirectional	1	Line		Right	A
B11	IO_TE4P_0	Bidirectional	1	Line		Right	A
D11	IO_TE5N_0	Bidirectional	1	Line		Right	A
F10	IO_TE5P_0	Bidirectional	1	Line		Right	A
E11	IO_TE6N_0	Bidirectional	1	Line		Right	A
F9	IO_TE6P_0	Bidirectional	1	Line		Right	A
M13	VCCIO1_1	Power	1	Line		Left	B
E13	VCCIO1_2	Power	1	Line		Left	B
J10	VCCIO1_3	Power	1	Line		Left	B
H10	VCCIO1_4	Power	1	Line		Left	B
H13	IO_TE9P_1,USRCLK,#NHP	Bidirectional	1	Line		Left	B
J12	IO_TE9N_1,DPCLKIO,#NHP	Bidirectional	1	Line		Left	B
G16	IO_TE8P_1	Bidirectional	1	Line		Left	B
H15	IO_TE8N_1	Bidirectional	1	Line		Left	B
J15	IO_TE7P_1	Bidirectional	1	Line		Left	B
K16	IO_TE7N_1	Bidirectional	1	Line		Left	B
J16	IO_TE6P_1	Bidirectional	1	Line		Left	B
J14	IO_TE6N_1	Bidirectional	1	Line		Left	B
K13	IO_TE5P_1	Bidirectional	1	Line		Left	B
K12	IO_TE5N_1	Bidirectional	1	Line		Left	B
K11	IO_TE4P_1	Bidirectional	1	Line		Left	B
L13	IO_TE4N_1	Bidirectional	1	Line		Left	B
K14	IO_TE3P_1	Bidirectional	1	Line		Left	B
K15	IO_TE3N_1	Bidirectional	1	Line		Left	B
L15	IO_T1_1	Bidirectional	1	Line		Left	B
L16	IO_TE2P_1,GPLL2IP	Bidirectional	1	Line		Left	B
L14	IO_TE2N_1,GPLL2IN	Bidirectional	1	Line		Left	B
J11	IO_TE1P_1	Bidirectional	1	Line		Left	B
L12	IO_TE1N_1	Bidirectional	1	Line		Left	B
M16	IO_T2_1	Bidirectional	1	Line		Left	B
J13	IO_TE10N_1	Bidirectional	1	Line		Right	B
