Device/package EF3L15CG256B   datasheet:2.1

Number       Name                                         Type               Position     Section
D12          VCCIO0                                       Power              Left         A
D5           VCCIO0                                       Power              Left         A
G9           VCCIO0                                       Power              Left         A
G8           VCCIO0                                       Power              Left         A
C11          IO_LE1N_0                                    Bidirectional      Left         A
A11          IO_LE1P_0                                    Bidirectional      Left         A
A10          IO_L2N_0                                     Bidirectional      Left         A
B9           IO_L2P_0                                     Bidirectional      Left         A
D9           IO_L4N_0,ADC0_CH5                            Bidirectional      Left         A
F8           IO_L4P_0,ADC0_CH0                            Bidirectional      Left         A
D10          IO_L5P_0                                     Bidirectional      Left         A
E10          IO_L5N_0                                     Bidirectional      Left         A
E8           IO_L6N_0,ADC0_CH7                            Bidirectional      Left         A
F7           IO_L6P_0,ADC0_CH6                            Bidirectional      Left         A
E9           IO_L8N_0,DPCLKIO                             Bidirectional      Left         A
D8           IO_L8P_0                                     Bidirectional      Left         A
A9           IO_L9P_0,ADC0_CH2,GCLKIOL_0,LVDSRX_0P        Bidirectional      Left         A
C9           IO_L9N_0,ADC0_CH1,GCLKIOL_1,LVDSRX_0N        Bidirectional      Left         A
B6           IO_L10N_0                                    Bidirectional      Left         A
A5           IO_L10P_0                                    Bidirectional      Left         A
C10          IO_L7P_0,JTAGEN                              Bidirectional      Left         A
A13          IO_L_0,INIT                                Bidirectional      Left         A
C13          IO_L_0,DONE                                Bidirectional      Left         A
B10          IO_L7N_0,PROGRAMN                            Bidirectional      Left         A
A7           IO_L13P_0,TCK                                Bidirectional      Left         A
C6           IO_L16P_0,TDO                                Bidirectional      Left         A
B8           IO_L13N_0,TMS                                Bidirectional      Left         A
A6           IO_L16N_0,TDI                                Bidirectional      Left         A
A8           IO_L11N_0,ADC0_CH3,GCLKIOL_3,LVDSTX_0N       Bidirectional      Right        A
C8           IO_L11P_0,ADC0_CH4,GCLKIOL_2,LVDSTX_0P       Bidirectional      Right        A
B7           IO_L12P_0                                    Bidirectional      Right        A
C7           IO_L12N_0                                    Bidirectional      Right        A
E6           IO_L14P_0,DPCLKIO,LVDSTX_0P                  Bidirectional      Right        A
D7           IO_L14N_0,LVDSTX_0N                          Bidirectional      Right        A
E7           IO_L15N_0                                    Bidirectional      Right        A
D6           IO_L15P_0                                    Bidirectional      Right        A
C5           IO_L17N_0                                    Bidirectional      Right        A
A4           IO_L17P_0                                    Bidirectional      Right        A
C4           IO_L18P_0                                    Bidirectional      Right        A
B5           IO_L18N_0                                    Bidirectional      Right        A
B4           IO_L19N_0                                    Bidirectional      Right        A
A3           IO_L19P_0                                    Bidirectional      Right        A
B3           IO_L_0                                       Bidirectional      Right        A
A15          IO_LE20N_0                                   Bidirectional      Right        A
B14          IO_LE20P_0                                   Bidirectional      Right        A
A14          IO_LE21N_0                                   Bidirectional      Right        A
B13          IO_LE21P_0                                   Bidirectional      Right        A
B12          IO_LE22N_0                                   Bidirectional      Right        A
C12          IO_LE22P_0                                   Bidirectional      Right        A
A12          IO_LE23N_0                                   Bidirectional      Right        A
B11          IO_LE23P_0                                   Bidirectional      Right        A
D11          IO_LE24N_0                                   Bidirectional      Right        A
F10          IO_LE24P_0                                   Bidirectional      Right        A
E11          IO_LE25N_0                                   Bidirectional      Right        A
F9           IO_LE25P_0                                   Bidirectional      Right        A
M13          VCCIO1                                       Power              Left         B
E13          VCCIO1                                       Power              Left         B
J10          VCCIO1                                       Power              Left         B
H10          VCCIO1                                       Power              Left         B
H13          IO_TE9P_1,GPIO8,USRCLK,ADC1_CH2              Bidirectional      Left         B
J12          IO_TE9N_1,GPIO9,DPCLKIO,ADC1_CH3             Bidirectional      Left         B
G16          IO_TE8P_1                                    Bidirectional      Left         B
H15          IO_TE8N_1                                    Bidirectional      Left         B
J15          IO_TE7P_1,GPIO10                             Bidirectional      Left         B
K16          IO_TE7N_1,GPIO11                             Bidirectional      Left         B
J16          IO_TE6P_1                                    Bidirectional      Left         B
J14          IO_TE6N_1                                    Bidirectional      Left         B
K13          IO_TE5P_1,GPIO12                             Bidirectional      Left         B
K12          IO_TE5N_1,GPIO13                             Bidirectional      Left         B
K11          IO_TE4P_1                                    Bidirectional      Left         B
L13          IO_TE4N_1                                    Bidirectional      Left         B
K14          IO_TE3P_1                                    Bidirectional      Left         B
K15          IO_TE3N_1                                    Bidirectional      Left         B
L15          IO_T2_1                                      Bidirectional      Left         B
L16          IO_TE2P_1,GPLL2IP                            Bidirectional      Left         B
L14          IO_TE2N_1,GPLL2IN                            Bidirectional      Left         B
J11          IO_TE1P_1,GPIO3                              Bidirectional      Left         B
L12          IO_TE1N_1,GPIO4                              Bidirectional      Left         B
M16          IO_T1_1                                      Bidirectional      Left         B
J13          IO_TE10N_1                                   Bidirectional      Right        B
H11          IO_TE10P_1                                   Bidirectional      Right        B
H12          IO_TE11N_1,GCLKIOT_3                         Bidirectional      Right        B
G11          IO_TE11P_1,GCLKIOT_2                         Bidirectional      Right        B
H16          IO_TE12N_1,GCLKIOT_1                         Bidirectional      Right        B
H14          IO_TE12P_1,GCLKIOT_0                         Bidirectional      Right        B
G14          IO_TE13N_1                                   Bidirectional      Right        B
G15          IO_TE13P_1                                   Bidirectional      Right        B
G13          IO_T_1,GPIO7,ADC1_CH1                        Bidirectional      Right        B
F16          IO_TE14N_1,CSON,DOUT                         Bidirectional      Right        B
F14          IO_TE14P_1,GPIO6,DPCLKIO,ADC1_CH0            Bidirectional      Right        B
G12          IO_T_1,GPIO5,ADC0_VREF                       Bidirectional      Right        B
F13          IO_T_1,CSN                                   Bidirectional      Right        B
F15          IO_TE15N_1,GPIO1,ADC1_VREF                   Bidirectional      Right        B
E16          IO_TE15P_1,GPIO0,ADC1_CH4                    Bidirectional      Right        B
E14          IO_TE16N_1                                   Bidirectional      Right        B
D16          IO_TE16P_1                                   Bidirectional      Right        B
F12          IO_T_1,GPIO2,ADC1_CH5                        Bidirectional      Right        B
E15          IO_TE17N_1                                   Bidirectional      Right        B
D14          IO_TE17P_1                                   Bidirectional      Right        B
D15          IO_TE18N_1,GPIO15,ADC1_CH6                   Bidirectional      Right        B
C16          IO_TE18P_1,GPIO14                            Bidirectional      Right        B
B16          IO_TE19N_1                                   Bidirectional      Right        B
C15          IO_TE19P_1                                   Bidirectional      Right        B
N12          VCCIO2                                       Power              Left         C
N5           VCCIO2                                       Power              Left         C
K9           VCCIO2                                       Power              Left         C
K8           VCCIO2                                       Power              Left         C
L8           IO_R14N_2                                    Bidirectional      Left         C
M6           IO_R14P_2                                    Bidirectional      Left         C
P16          IO_BE13N_2                                   Bidirectional      Left         C
N15          IO_BE13P_2                                   Bidirectional      Left         C
N14          IO_BE12N_2                                   Bidirectional      Left         C
N16          IO_BE12P_2                                   Bidirectional      Left         C
R16          IO_BE11N_2                                   Bidirectional      Left         C
P15          IO_BE11P_2                                   Bidirectional      Left         C
T10          IO_BE10N_2,D7                                Bidirectional      Left         C
R9           IO_BE10P_2,D6                                Bidirectional      Left         C
M15          IO_BE9N_2                                    Bidirectional      Left         C
M14          IO_BE9P_2                                    Bidirectional      Left         C
T8           IO_BE8N_2                                    Bidirectional      Left         C
P8           IO_BE8P_2                                    Bidirectional      Left         C
P7           IO_BE7N_2                                    Bidirectional      Left         C
R7           IO_BE7P_2                                    Bidirectional      Left         C
T6           IO_BE6N_2                                    Bidirectional      Left         C
P6           IO_BE6P_2                                    Bidirectional      Left         C
P5           IO_BE5N_2                                    Bidirectional      Left         C
R5           IO_BE5P_2                                    Bidirectional      Left         C
R6           IO_BE4N_2                                    Bidirectional      Left         C
T5           IO_BE4P_2                                    Bidirectional      Left         C
T4           IO_BE3N_2                                    Bidirectional      Left         C
P4           IO_BE3P_2                                    Bidirectional      Left         C
R4           IO_BE2N_2                                    Bidirectional      Left         C
T3           IO_BE2P_2                                    Bidirectional      Left         C
R3           IO_BE1N_2                                    Bidirectional      Left         C
T2           IO_BE1P_2                                    Bidirectional      Left         C
L7           IO_R15N_2                                    Bidirectional      Right        C
N6           IO_R15P_2                                    Bidirectional      Right        C
M7           IO_R16P_2                                    Bidirectional      Right        C
N7           IO_R16N_2                                    Bidirectional      Right        C
L9           IO_R17N_2                                    Bidirectional      Right        C
N8           IO_R17P_2                                    Bidirectional      Right        C
M8           IO_R18P_2                                    Bidirectional      Right        C
N9           IO_R18N_2                                    Bidirectional      Right        C
L10          IO_R19N_2                                    Bidirectional      Right        C
M9           IO_R19P_2                                    Bidirectional      Right        C
M10          IO_R20P_2                                    Bidirectional      Right        C
N11          IO_R20N_2                                    Bidirectional      Right        C
R8           IO_R21N_2,GCLKIOR_1,LVDSTX_1N                Bidirectional      Right        C
T7           IO_R21P_2,GCLKIOR_0,LVDSTX_1P                Bidirectional      Right        C
N10          IO_R22P_2                                    Bidirectional      Right        C
M11          IO_R22N_2,DPCLKIO                            Bidirectional      Right        C
P9           IO_R23N_2,GCLKIOR_3,LVDSTX_1N                Bidirectional      Right        C
T9           IO_R23P_2,GCLKIOR_2,LVDSTX_1P                Bidirectional      Right        C
P10          IO_R24P_2,DPCLKIO                            Bidirectional      Right        C
R10          IO_R24N_2                                    Bidirectional      Right        C
P11          IO_R25N_2,LVDSRX_1N                          Bidirectional      Right        C
T11          IO_R25P_2,LVDSRX_1P                          Bidirectional      Right        C
P12          IO_R26P_2                                    Bidirectional      Right        C
T13          IO_R26N_2                                    Bidirectional      Right        C
T12          IO_R27N_2                                    Bidirectional      Right        C
R11          IO_R27P_2                                    Bidirectional      Right        C
R12          IO_R28P_2,SCLK                               Bidirectional      Right        C
P13          IO_R28N_2                                    Bidirectional      Right        C
T14          IO_R29N_2,GPLL2_OUTN                         Bidirectional      Right        C
R13          IO_R29P_2,GPLL2_OUTP                         Bidirectional      Right        C
T15          IO_R30P_2                                    Bidirectional      Right        C
R14          IO_R30N_2                                    Bidirectional      Right        C
M4           VCCIO3                                       Power              Left         D
N3           IO_BE1N_3                                    Bidirectional      Left         D
M2           IO_BE1P_3                                    Bidirectional      Left         D
L3           IO_BE2N_3                                    Bidirectional      Left         D
L1           IO_BE2P_3,DPCLKIO                            Bidirectional      Left         D
P1           IO_BE3N_3                                    Bidirectional      Left         D
N2           IO_BE3P_3                                    Bidirectional      Left         D
P2           IO_BE4N_3                                    Bidirectional      Left         D
R1           IO_BE4P_3                                    Bidirectional      Left         D
N1           IO_BE5N_3                                    Bidirectional      Left         D
M3           IO_BE5P_3                                    Bidirectional      Left         D
M1           IO_BE6N_3,D5,GCLKIOB_5                       Bidirectional      Left         D
L2           IO_BE6P_3,D4,GCLKIOB_4                       Bidirectional      Left         D
L5           IO_BE7N_3                                    Bidirectional      Left         D
K4           IO_BE7P_3                                    Bidirectional      Left         D
L4           IO_BE8N_3                                    Bidirectional      Left         D
K5           IO_BE8P_3                                    Bidirectional      Left         D
H7           VCCIO4                                       Power              Left         E
J7           VCCIO4                                       Power              Left         E
H2           IO_BE1N_4                                    Bidirectional      Left         E
G1           IO_BE1P_4                                    Bidirectional      Left         E
H1           IO_BE2N_4                                    Bidirectional      Left         E
H3           IO_BE2P_4                                    Bidirectional      Left         E
K1           IO_BE3N_4                                    Bidirectional      Left         E
J2           IO_BE3P_4                                    Bidirectional      Left         E
K2           IO_BE4N_4,D3                                 Bidirectional      Left         E
K3           IO_BE4P_4,D2                                 Bidirectional      Left         E
J6           IO_BE5N_4                                    Bidirectional      Left         E
H4           IO_BE5P_4                                    Bidirectional      Left         E
J4           IO_BE6N_4                                    Bidirectional      Left         E
H5           IO_BE6P_4                                    Bidirectional      Left         E
K6           IO_BE7N_4                                    Bidirectional      Left         E
J5           IO_BE7P_4,DPCLKIO                            Bidirectional      Left         E
J3           IO_BE8N_4,GCLKIOB_3                          Bidirectional      Left         E
J1           IO_BE8P_4,GCLKIOB_2                          Bidirectional      Left         E
E4           VCCIO5                                       Power              Left         F
C2           IO_BE1N_5                                    Bidirectional      Left         F
B1           IO_BE1P_5                                    Bidirectional      Left         F
D2           IO_BE2N_5                                    Bidirectional      Left         F
C1           IO_BE2P_5                                    Bidirectional      Left         F
D1           IO_BE3N_5                                    Bidirectional      Left         F
D3           IO_BE3P_5                                    Bidirectional      Left         F
E3           IO_BE4N_5                                    Bidirectional      Left         F
E2           IO_BE4P_5                                    Bidirectional      Left         F
G3           IO_BE5N_5,D1                                 Bidirectional      Left         F
G2           IO_BE5P_5,D0                                 Bidirectional      Left         F
F1           IO_BE6N_5                                    Bidirectional      Left         F
F3           IO_BE6P_5                                    Bidirectional      Left         F
G4           IO_BE7N_5                                    Bidirectional      Left         F
G5           IO_BE7P_5                                    Bidirectional      Left         F
F2           IO_BE8N_5,GCLKIOB_1                          Bidirectional      Left         F
E1           IO_BE8P_5,GCLKIOB_0                          Bidirectional      Left         F
G6           IO_BE9N_5                                    Bidirectional      Left         F
F4           IO_BE9P_5                                    Bidirectional      Left         F
H6           IO_BE10N_5                                   Bidirectional      Left         F
F5           IO_BE10P_5                                   Bidirectional      Left         F
A1           VCCAUX                                       Power              Left         G
G7           VCCAUX                                       Power              Left         G
G10          VCCAUX                                       Power              Left         G
K7           VCCAUX                                       Power              Left         G
K10          VCCAUX                                       Power              Left         G
T1           VCCAUX                                       Power              Left         G
T16          VCCAUX                                       Power              Left         G
A2           ADC_VDDD                                     Power              Left         G
A16          ADC_VDDA                                     Power              Left         G
F11          ADC_VSSA                                     Power              Left         G
L11          GND_PLL                                      Power              Left         G
B2           GND                                          Power              Right        G
B15          GND                                          Power              Right        G
C3           GND                                          Power              Right        G
C14          GND                                          Power              Right        G
D4           GND                                          Power              Right        G
D13          GND                                          Power              Right        G
E5           GND                                          Power              Right        G
E12          GND                                          Power              Right        G
F6           GND                                          Power              Right        G
H8           GND                                          Power              Right        G
H9           GND                                          Power              Right        G
J8           GND                                          Power              Right        G
J9           GND                                          Power              Right        G
L6           GND                                          Power              Right        G
M5           GND                                          Power              Right        G
M12          GND                                          Power              Right        G
N4           GND                                          Power              Right        G
N13          GND                                          Power              Right        G
P3           GND                                          Power              Right        G
P14          GND                                          Power              Right        G
R2           GND                                          Power              Right        G
R15          GND                                          Power              Right        G

Total Number of Pins, 256
