Device/package EF3L40CG324B   datasheet:DS600_ELF3_Datasheet_V1.6_CN

pin      name                             bank    type                part     location
A3       IO_L1P_0                          0      Bidirectional         1        Left
B4       IO_L1N_0                          0      Bidirectional         1        Left
C3       IO_L3P_0                          0      Bidirectional         1        Left
C4       IO_L3N_0                          0      Bidirectional         1        Left
A2       IO_L5P_0                          0      Bidirectional         1        Left
B3       IO_L5N_0                          0      Bidirectional         1        Left
A4       IO_L7P_0                          0      Bidirectional         1        Left
A5       IO_L7N_0                          0      Bidirectional         1        Left
B6       IO_L9P_0                          0      Bidirectional         1        Left
A6       IO_L9N_0                          0      Bidirectional         1        Left
A7       IO_L11P_0                         0      Bidirectional         1        Left
B7       IO_L11N_0                         0      Bidirectional         1        Left
B8       IO_L13P_0                         0      Bidirectional         1        Left
A8       IO_L13N_0                         0      Bidirectional         1        Left
A10      IO_L17P_0                         0      Bidirectional         1        Left
B10      IO_L17N_0                         0      Bidirectional         1        Left
A9       IO_L18P_0,GCLKIOL_0               0      Bidirectional         1        Left
B9       IO_L18N_0,GCLKIOL_1               0      Bidirectional         1        Left
A11      IO_L20P_0                         0      Bidirectional         1        Left
A12      IO_L20N_0                         0      Bidirectional         1        Left
C10      IO_L22P_0                         0      Bidirectional         1        Left
B11      IO_L22N_0                         0      Bidirectional         1        Left
B12      IO_L24P_0                         0      Bidirectional         1        Left
C11      IO_L24N_0                         0      Bidirectional         1        Left
A13      IO_L26P_0                         0      Bidirectional         1        Left
A14      IO_L26N_0                         0      Bidirectional         1        Left
C12      IO_L27P_0                         0      Bidirectional         1        Left
B13      IO_L27N_0                         0      Bidirectional         1        Left
A15      IO_L29P_0                         0      Bidirectional         1        Left
A16      IO_L29N_0                         0      Bidirectional         1        Left
B16      IO_L32P_0                         0      Bidirectional         1        Left
A17      IO_L32N_0                         0      Bidirectional         1        Left
B14      IO_L33P_0                         0      Bidirectional         1        Left
B15      IO_L33N_0                         0      Bidirectional         1        Left
C14      IO_L35P_0                         0      Bidirectional         1        Left
C15      IO_L35N_0                         0      Bidirectional         1        Left
D5       IO_LE2P_0,GPLL0_OUTP              0      Bidirectional         1       Right
B5       IO_LE2N_0,GPLL0_OUTP              0      Bidirectional         1       Right
D4       IO_LE4P_0                         0      Bidirectional         1       Right
E5       IO_LE4N_0                         0      Bidirectional         1       Right
F7       IO_LE6P_0                         0      Bidirectional         1       Right
E6       IO_LE6N_0                         0      Bidirectional         1       Right
C5       IO_LE8P_0                         0      Bidirectional         1       Right
D6       IO_LE8N_0                         0      Bidirectional         1       Right
C9       IO_LE10P_0                        0      Bidirectional         1       Right
D9       IO_LE10N_0                        0      Bidirectional         1       Right
E8       IO_LE14P_0                        0      Bidirectional         1       Right
F8       IO_LE14N_0                        0      Bidirectional         1       Right
D8       IO_LE15P_0                        0      Bidirectional         1       Right
E7       IO_LE15N_0                        0      Bidirectional         1       Right
F9       IO_LE19P_0                        0      Bidirectional         1       Right
F10      IO_LE19N_0                        0      Bidirectional         1       Right
E9       IO_LE21P_0,GCLKIOL_2              0      Bidirectional         1       Right
D10      IO_LE21N_0,GCLKIOL_3              0      Bidirectional         1       Right
E10      IO_LE23P_0                        0      Bidirectional         1       Right
E11      IO_LE23N_0                        0      Bidirectional         1       Right
E12      IO_LE28P_0                        0      Bidirectional         1       Right
F12      IO_LE28N_0                        0      Bidirectional         1       Right
D14      IO_LE30P_0                        0      Bidirectional         1       Right
D15      IO_LE30N_0                        0      Bidirectional         1       Right
F11      IO_LE31P_0                        0      Bidirectional         1       Right
C13      IO_LE31N_0                        0      Bidirectional         1       Right
D13      IO_LE34P_0,GPLL1_OUTP             0      Bidirectional         1       Right
E13      IO_LE34N_0,GPLL1_OUTN             0      Bidirectional         1       Right
D11      IO_LE25P_0,JTAGEN                 0      Bidirectional         1       Right
C16      IO_LE36P_0,INITN                  0      Bidirectional         1       Right
D12      IO_LE25N_0,PROGRAMN               0      Bidirectional         1       Right
E14      IO_LE36N_0,DONE                   0      Bidirectional         1       Right
C7       IO_LE16P_0,TCK                    0      Bidirectional         1       Right
D7       IO_LE12P_0,TDO                    0      Bidirectional         1       Right
C8       IO_LE16N_0,TMS                    0      Bidirectional         1       Right
C6       IO_LE12N_0,TDI                    0      Bidirectional         1       Right
B18      IO_TE1P_1,GPLL1IP_FDB             1      Bidirectional         2        Left
C17      IO_TE1N_1,GPLL1IN_FDB             1      Bidirectional         2        Left
F14      IO_TE2P_1                         1      Bidirectional         2        Left
D16      IO_TE2N_1                         1      Bidirectional         2        Left
E15      IO_TE3P_1,GPLL1IP_REF             1      Bidirectional         2        Left
C18      IO_TE3N_1,GPLL1IN_REF             1      Bidirectional         2        Left
F15      IO_TE4P_1                         1      Bidirectional         2        Left
D17      IO_TE4N_1                         1      Bidirectional         2        Left
G13      IO_TE5P_1                         1      Bidirectional         2        Left
G14      IO_TE5N_1                         1      Bidirectional         2        Left
H14      IO_TE6P_1                         1      Bidirectional         2        Left
F17      IO_TE6N_1                         1      Bidirectional         2        Left
E17      IO_TE7P_1                         1      Bidirectional         2        Left
D18      IO_TE7N_1                         1      Bidirectional         2        Left
G15      IO_TE8P_1                         1      Bidirectional         2        Left
F16      IO_TE8N_1                         1      Bidirectional         2        Left
J14      IO_TE9P_1                         1      Bidirectional         2        Left
J12      IO_TE9N_1                         1      Bidirectional         2        Left
E18      IO_TE10P_1                        1      Bidirectional         2        Left
G17      IO_TE10N_1                        1      Bidirectional         2        Left
E16      IO_TE11P_1                        1      Bidirectional         2        Left
H13      IO_TE11N_1                        1      Bidirectional         2        Left
G16      IO_TE12P_1                        1      Bidirectional         2        Left
H15      IO_TE12N_1                        1      Bidirectional         2        Left
H16      IO_TE13P_1                        1      Bidirectional         2        Left
F18      IO_TE13N_1                        1      Bidirectional         2        Left
J13      IO_TE14P_1                        1      Bidirectional         2        Left
G18      IO_TE14N_1                        1      Bidirectional         2        Left
J15      IO_TE15P_1                        1      Bidirectional         2        Left
H17      IO_TE15N_1                        1      Bidirectional         2        Left
J16      IO_TE16P_1                        1      Bidirectional         2        Left
J17      IO_TE16N_1                        1      Bidirectional         2        Left
K18      IO_TE17P_1                        1      Bidirectional         2        Left
L16      IO_TE17N_1                        1      Bidirectional         2        Left
H18      IO_TE18P_1,GCLKIOT_0              1      Bidirectional         2       Right
K15      IO_TE18N_1,GCLKIOT_1              1      Bidirectional         2       Right
K12      IO_TE19P_1                        1      Bidirectional         2       Right
K13      IO_TE19N_1                        1      Bidirectional         2       Right
K16      IO_TE20P_1,GCLKIOT_2              1      Bidirectional         2       Right
K17      IO_TE20N_1,GCLKIOT_3              1      Bidirectional         2       Right
L18      IO_TE21P_1,CSON,DOUT              1      Bidirectional         2       Right
M18      IO_TE21N_1                        1      Bidirectional         2       Right
K14      IO_TE22P_1,D6                     1      Bidirectional         2       Right
J18      IO_TE22N_1,D7                     1      Bidirectional         2       Right
M17      IO_TE23P_1                        1      Bidirectional         2       Right
N18      IO_TE23N_1                        1      Bidirectional         2       Right
L17      IO_TE24P_1,D4                     1      Bidirectional         2       Right
M16      IO_TE24N_1,D5                     1      Bidirectional         2       Right
M15      IO_TE25P_1                        1      Bidirectional         2       Right
P18      IO_TE25N_1,USRCLK                 1      Bidirectional         2       Right
L15      IO_TE26P_1,CSN                    1      Bidirectional         2       Right
L13      IO_TE26N_1                        1      Bidirectional         2       Right
P17      IO_TE27P_1,SCLK                   1      Bidirectional         2       Right
N15      IO_TE27N_1                        1      Bidirectional         2       Right
L14      IO_TE28P_1,D2                     1      Bidirectional         2       Right
N17      IO_TE28N_1,D3                     1      Bidirectional         2       Right
M14      IO_TE29P_1,D0                     1      Bidirectional         2       Right
N16      IO_TE29N_1,D1                     1      Bidirectional         2       Right
P16      IO_TE30P_1                        1      Bidirectional         2       Right
T18      IO_TE30N_1                        1      Bidirectional         2       Right
R18      IO_TE31P_1                        1      Bidirectional         2       Right
M13      IO_TE31N_1                        1      Bidirectional         2       Right
R17      IO_TE32P_1                        1      Bidirectional         2       Right
N14      IO_TE32N_1                        1      Bidirectional         2       Right
R16      IO_TE33P_1                        1      Bidirectional         2       Right
T17      IO_TE33N_1                        1      Bidirectional         2       Right
P15      IO_TE34P_1                        1      Bidirectional         2       Right
U18      IO_TE34N_1                        1      Bidirectional         2       Right
U16      IO_R1P_2                          2      Bidirectional         3        Left
V17      IO_R1N_2                          2      Bidirectional         3        Left
T15      IO_R3P_2                          2      Bidirectional         3        Left
T16      IO_R3N_2                          2      Bidirectional         3        Left
P14      IO_R5P_2                          2      Bidirectional         3        Left
U15      IO_R5N_2                          2      Bidirectional         3        Left
R15      IO_R7P_2                          2      Bidirectional         3        Left
T14      IO_R7N_2                          2      Bidirectional         3        Left
R14      IO_R9P_2                          2      Bidirectional         3        Left
U13      IO_R9N_2                          2      Bidirectional         3        Left
T12      IO_R12P_2                         2      Bidirectional         3        Left
N11      IO_R12N_2                         2      Bidirectional         3        Left
T11      IO_R14P_2                         2      Bidirectional         3        Left
U14      IO_R14N_2                         2      Bidirectional         3        Left
V13      IO_R16P_2                         2      Bidirectional         3        Left
V11      IO_R16N_2                         2      Bidirectional         3        Left
R10      IO_R18P_2                         2      Bidirectional         3        Left
V10      IO_R18N_2                         2      Bidirectional         3        Left
U9       IO_R20P_2                         2      Bidirectional         3        Left
T8       IO_R20N_2                         2      Bidirectional         3        Left
U10      IO_R22P_2                         2      Bidirectional         3        Left
N9       IO_R22N_2                         2      Bidirectional         3        Left
U8       IO_R25P_2                         2      Bidirectional         3        Left
V5       IO_R25N_2                         2      Bidirectional         3        Left
R8       IO_R27P_2                         2      Bidirectional         3        Left
V3       IO_R27N_2                         2      Bidirectional         3        Left
P8       IO_R29P_2                         2      Bidirectional         3        Left
T5       IO_R29N_2                         2      Bidirectional         3        Left
U6       IO_R31P_2                         2      Bidirectional         3        Left
T3       IO_R31N_2                         2      Bidirectional         3        Left
R7       IO_R33P_2                         2      Bidirectional         3        Left
V2       IO_R33N_2                         2      Bidirectional         3        Left
R6       IO_R35P_2                         2      Bidirectional         3        Left
R5       IO_R35N_2                         2      Bidirectional         3        Left
T4       IO_RE36N_2                        2      Bidirectional         3        Left
R4       IO_RE36P_2                        2      Bidirectional         3        Left
P13      IO_RE4N_2                         2      Bidirectional         3       Right
M2       IO_RE4P_2                         2      Bidirectional         3       Right
V16      IO_RE6P_2                         2      Bidirectional         3       Right
R13      IO_RE6N_2                         2      Bidirectional         3       Right
N12      IO_RE8P_2                         2      Bidirectional         3       Right
P12      IO_RE8N_2                         2      Bidirectional         3       Right
V14      IO_RE10P_2                        2      Bidirectional         3       Right
R12      IO_RE10N_2                        2      Bidirectional         3       Right
T13      IO_RE11P_2                        2      Bidirectional         3       Right
P11      IO_RE11N_2                        2      Bidirectional         3       Right
R11      IO_RE13P_2                        2      Bidirectional         3       Right
P10      IO_RE13N_2                        2      Bidirectional         3       Right
V15      IO_RE15P_2                        2      Bidirectional         3       Right
U12      IO_RE15N_2                        2      Bidirectional         3       Right
V12      IO_RE17P_2,GCLKIOR_2              2      Bidirectional         3       Right
