Device/package EF3L40CG332B   datasheet:1.3

Number  Name                               Type            Posetion   Section
C4      IO_L1P_0                           Bidirectional   Left       1
B4      IO_L1N_0                           Bidirectional   Left       1
A4      IO_L3P_0                           Bidirectional   Left       1
C5      IO_L3N_0                           Bidirectional   Left       1
E7      IO_L5P_0                           Bidirectional   Left       1
D6      IO_L5N_0                           Bidirectional   Left       1
B5      IO_L7P_0                           Bidirectional   Left       1
A5      IO_L7N_0                           Bidirectional   Left       1
C6      IO_L9P_0                           Bidirectional   Left       1
D7      IO_L9N_0                           Bidirectional   Left       1
A7      IO_L10P_0                          Bidirectional   Left       1
B8      IO_L10N_0                          Bidirectional   Left       1
D8      IO_L12P_0                          Bidirectional   Left       1
E9      IO_L12N_0                          Bidirectional   Left       1
C10     IO_L16P_0                          Bidirectional   Left       1
B10     IO_L16N_0                          Bidirectional   Left       1
B9      IO_L17P_0,GCLKIOL_0_0              Bidirectional   Left       1
A9      IO_L17N_0,GCLKIOL_1_0              Bidirectional   Left       1
A11     IO_L19P_0                          Bidirectional   Left       1
B11     IO_L19N_0                          Bidirectional   Left       1
B12     IO_L21P_0                          Bidirectional   Left       1
C12     IO_L21N_0                          Bidirectional   Left       1
D12     IO_L23P_0                          Bidirectional   Left       1
D13     IO_L23N_0                          Bidirectional   Left       1
B14     IO_L25P_0                          Bidirectional   Left       1
C14     IO_L25N_0                          Bidirectional   Left       1
A15     IO_L26P_0                          Bidirectional   Left       1
B15     IO_L26N_0                          Bidirectional   Left       1
E12     IO_L28P_0                          Bidirectional   Left       1
D14     IO_L28N_0                          Bidirectional   Left       1
B16     IO_L31P_0                          Bidirectional   Left       1
C16     IO_L31N_0                          Bidirectional   Left       1
D17     IO_L32P_0                          Bidirectional   Left       1
D16     IO_L32N_0                          Bidirectional   Left       1
A18     IO_L34P_0                          Bidirectional   Left       1
C17     IO_L34N_0                          Bidirectional   Left       1
A2      IO_LE2P_0,GPLL0_OUTP               Bidirectional   Right      1
B2      IO_LE2N_0,GPLL0_OUTN               Bidirectional   Right      1
A3      IO_LE4P_0                          Bidirectional   Right      1
B3      IO_LE4N_0                          Bidirectional   Right      1
E6      IO_LE6P_0                          Bidirectional   Right      1
D5      IO_LE6N_0                          Bidirectional   Right      1
B6      IO_LE8P_0                          Bidirectional   Right      1
A6      IO_LE8N_0                          Bidirectional   Right      1
E8      IO_LE13P_0                         Bidirectional   Right      1
C8      IO_LE13N_0                         Bidirectional   Right      1
D9      IO_LE14P_0                         Bidirectional   Right      1
E10     IO_LE14N_0                         Bidirectional   Right      1
D10     IO_LE18P_0                         Bidirectional   Right      1
D11     IO_LE18N_0                         Bidirectional   Right      1
C11     IO_LE20P_0,GCLKIOL_2_0             Bidirectional   Right      1
A12     IO_LE20N_0,GCLKIOL_3_0             Bidirectional   Right      1
A13     IO_LE22P_0                         Bidirectional   Right      1
B13     IO_LE22N_0                         Bidirectional   Right      1
C15     IO_LE27P_0                         Bidirectional   Right      1
A16     IO_LE27N_0                         Bidirectional   Right      1
E13     IO_LE29P_0                         Bidirectional   Right      1
D15     IO_LE29N_0                         Bidirectional   Right      1
E14     IO_LE30P_0                         Bidirectional   Right      1
E15     IO_LE30N_0                         Bidirectional   Right      1
A19     IO_LE33P_0,GPLL1_OUTP              Bidirectional   Right      1
B18     IO_LE33N_0,GPLL1_OUTN              Bidirectional   Right      1
C7      IO_LE11P_0,TDO                     Bidirectional   Right      1
B7      IO_LE11N_0,TDI                     Bidirectional   Right      1
A8      IO_LE15P_0,TCK                     Bidirectional   Right      1
C9      IO_LE15N_0,TMS                     Bidirectional   Right      1
C13     IO_LE24P_0,JTAGEN                  Bidirectional   Right      1
A17     IO_LE35P_0,INITN                   Bidirectional   Right      1
B17     IO_LE35N_0,DONE                    Bidirectional   Right      1
A14     IO_LE24N_0,PROGRAMN                Bidirectional   Right      1
D18     IO_TE1P_1,GPLL1IP_FDB              Bidirectional   Left       2
D19     IO_TE1N_1,GPLL1IN_FDB              Bidirectional   Left       2
E17     IO_TE2P_1                          Bidirectional   Left       2
F16     IO_TE2N_1                          Bidirectional   Left       2
D20     IO_TE3P_1,GPLL1IP_REF              Bidirectional   Left       2
E18     IO_TE3N_1,GPLL1IN_REF              Bidirectional   Left       2
F17     IO_TE4P_1                          Bidirectional   Left       2
G16     IO_TE4N_1                          Bidirectional   Left       2
F18     IO_TE5P_1                          Bidirectional   Left       2
F19     IO_TE5N_1                          Bidirectional   Left       2
G17     IO_TE6P_1                          Bidirectional   Left       2
H16     IO_TE6N_1                          Bidirectional   Left       2
B20     IO_TE7P_1                          Bidirectional   Left       2
B19     IO_TE7N_1                          Bidirectional   Left       2
E19     IO_TE8P_1                          Bidirectional   Left       2
E20     IO_TE8N_1                          Bidirectional   Left       2
H17     IO_TE9P_1                          Bidirectional   Left       2
J16     IO_TE9N_1                          Bidirectional   Left       2
F20     IO_TE10P_1                         Bidirectional   Left       2
G18     IO_TE10N_1                         Bidirectional   Left       2
H18     IO_TE11P_1                         Bidirectional   Left       2
H19     IO_TE11N_1                         Bidirectional   Left       2
J17     IO_TE12P_1                         Bidirectional   Left       2
K16     IO_TE12N_1                         Bidirectional   Left       2
G19     IO_TE13P_1                         Bidirectional   Left       2
G20     IO_TE13N_1                         Bidirectional   Left       2
H20     IO_TE14P_1                         Bidirectional   Left       2
J18     IO_TE14N_1                         Bidirectional   Left       2
C20     IO_TE15P_1                         Bidirectional   Left       2
C19     IO_TE15N_1                         Bidirectional   Left       2
K18     IO_TE16P_1                         Bidirectional   Left       2
K19     IO_TE16N_1                         Bidirectional   Left       2
K17     IO_TE17P_1,GCLKIOT_0_1             Bidirectional   Left       2
L17     IO_TE17N_1,GCLKIOT_1_1             Bidirectional   Left       2
L20     IO_TE18P_1                         Bidirectional   Left       2
L19     IO_TE18N_1                         Bidirectional   Left       2
J19     IO_TE19P_1,GCLKIOT_2_1             Bidirectional   Right      2
J20     IO_TE19N_1,GCLKIOT_3_1             Bidirectional   Right      2
L18     IO_TE20P_1,CSON,DOUT               Bidirectional   Right      2
