Device/package EF3L90CG400B   datasheet:1.3

Number       Name                                         Type               Position   Section
B1           IO_L1P_0                                     Bidirectional      Left       A
A1           IO_L1N_0                                     Bidirectional      Left       A
G7           IO_LE2P_0,GPLL0_OUTP                         Bidirectional      Left       A
F7           IO_LE2N_0,GPLL0_OUTN                         Bidirectional      Left       A
B2           IO_L3P_0                                     Bidirectional      Left       A
A2           IO_L3N_0                                     Bidirectional      Left       A
B3           IO_L5P_0                                     Bidirectional      Left       A
A3           IO_L5N_0                                     Bidirectional      Left       A
B4           IO_L7P_0                                     Bidirectional      Left       A
A4           IO_L7N_0                                     Bidirectional      Left       A
B5           IO_L9P_0                                     Bidirectional      Left       A
A5           IO_L9N_0                                     Bidirectional      Left       A
B6           IO_L11P_0                                    Bidirectional      Left       A
A6           IO_L11N_0                                    Bidirectional      Left       A
B7           IO_L13P_0                                    Bidirectional      Left       A
A7           IO_L13N_0                                    Bidirectional      Left       A
B8           IO_L15P_0                                    Bidirectional      Left       A
A8           IO_L15N_0                                    Bidirectional      Left       A
B9           IO_L17P_0                                    Bidirectional      Left       A
A9           IO_L17N_0                                    Bidirectional      Left       A
B11          IO_L19P_0                                    Bidirectional      Left       A
A11          IO_L19N_0                                    Bidirectional      Left       A
B10          IO_L21P_0,GCLKIOL_0_0                        Bidirectional      Left       A
A10          IO_L21N_0,GCLKIOL_1_0                        Bidirectional      Left       A
A12          IO_L23P_0                                    Bidirectional      Left       A
B12          IO_L23N_0                                    Bidirectional      Left       A
A13          IO_L25P_0                                    Bidirectional      Left       A
B13          IO_L25N_0                                    Bidirectional      Left       A
A14          IO_L27P_0                                    Bidirectional      Left       A
B14          IO_L27N_0                                    Bidirectional      Left       A
A15          IO_L29P_0                                    Bidirectional      Left       A
B15          IO_L29N_0                                    Bidirectional      Left       A
A16          IO_L31P_0                                    Bidirectional      Left       A
B16          IO_L31N_0                                    Bidirectional      Left       A
A17          IO_L33P_0                                    Bidirectional      Left       A
B17          IO_L33N_0                                    Bidirectional      Left       A
C15          IO_L35P_0                                    Bidirectional      Left       A
C16          IO_L35N_0                                    Bidirectional      Left       A
A18          IO_L37P_0                                    Bidirectional      Left       A
B18          IO_L37N_0                                    Bidirectional      Left       A
B19          IO_L39P_0                                    Bidirectional      Left       A
A20          IO_L39N_0                                    Bidirectional      Left       A
E15          IO_L41P_0                                    Bidirectional      Left       A
D16          IO_L41N_0                                    Bidirectional      Left       A
D5           IO_LE4N_0                                    Bidirectional      Right      A
E6           IO_LE4P_0                                    Bidirectional      Right      A
E7           IO_LE6N_0                                    Bidirectional      Right      A
D6           IO_LE6P_0                                    Bidirectional      Right      A
F8           IO_LE8N_0                                    Bidirectional      Right      A
G8           IO_LE8P_0                                    Bidirectional      Right      A
F9           IO_LE10N_0                                   Bidirectional      Right      A
G9           IO_LE10P_0                                   Bidirectional      Right      A
D7           IO_LE14N_0                                   Bidirectional      Right      A
C6           IO_LE14P_0                                   Bidirectional      Right      A
C8           IO_LE16N_0                                   Bidirectional      Right      A
D8           IO_LE16P_0                                   Bidirectional      Right      A
F10          IO_LE20N_0                                   Bidirectional      Right      A
G10          IO_LE20P_0                                   Bidirectional      Right      A
C10          IO_LE22N_0                                   Bidirectional      Right      A
D10          IO_LE22P_0                                   Bidirectional      Right      A
C12          IO_LE26N_0                                   Bidirectional      Right      A
D12          IO_LE26P_0                                   Bidirectional      Right      A
F11          IO_LE30N_0                                   Bidirectional      Right      A
G11          IO_LE30P_0                                   Bidirectional      Right      A
F12          IO_LE32N_0                                   Bidirectional      Right      A
G12          IO_LE32P_0                                   Bidirectional      Right      A
F13          IO_LE34N_0                                   Bidirectional      Right      A
G13          IO_LE34P_0                                   Bidirectional      Right      A
D14          IO_LE36N_0                                   Bidirectional      Right      A
C14          IO_LE36P_0                                   Bidirectional      Right      A
D15          IO_LE38N_0,GPLL1_OUTN                        Bidirectional      Right      A
E14          IO_LE38P_0                                   Bidirectional      Right      A
F14          IO_LE40N_0                                   Bidirectional      Right      A
G14          IO_LE40P_0,GPLL1_OUTP                        Bidirectional      Right      A
D11          IO_LE24N_0,GCLKIOL_3_0                       Bidirectional      Right      A
C11          IO_LE24P_0,GCLKIOL_2_0                       Bidirectional      Right      A
C13          IO_LE28P_0,JTAGEN                            Bidirectional      Right      A
C17          IO_LE42P_0,INITN                             Bidirectional      Right      A
A19          IO_LE42N_0,DONE                              Bidirectional      Right      A
D13          IO_LE28N_0,PROGRAMN                          Bidirectional      Right      A
C9           IO_LE18P_0,TCK                               Bidirectional      Right      A
E8           IO_LE12P_0,TDO                               Bidirectional      Right      A
D9           IO_LE18N_0,TMS                               Bidirectional      Right      A
C7           IO_LE12N_0,TDI                               Bidirectional      Right      A
M17          IO_TE27P_1,D6                                Bidirectional      Left       B
N20          IO_TE27N_1,D7                                Bidirectional      Left       B
M20          IO_TE26P_1,CSON,DOUT                         Bidirectional      Left       B
M19          IO_TE26N_1                                   Bidirectional      Left       B
M16          IO_TE28P_1                                   Bidirectional      Left       B
N19          IO_TE28N_1                                   Bidirectional      Left       B
P20          IO_TE29P_1,D4                                Bidirectional      Left       B
P19          IO_TE29N_1,D5                                Bidirectional      Left       B
N18          IO_TE30P_1                                   Bidirectional      Left       B
N17          IO_TE30N_1,USRCLK                            Bidirectional      Left       B
N16          IO_TE31P_1,D2                                Bidirectional      Left       B
R19          IO_TE31N_1,D3                                Bidirectional      Left       B
T20          IO_TE32P_1                                   Bidirectional      Left       B
T19          IO_TE32N_1                                   Bidirectional      Left       B
M15          IO_TE33P_1,CSN                               Bidirectional      Left       B
M14          IO_TE33N_1                                   Bidirectional      Left       B
P18          IO_TE34P_1,SCLK                              Bidirectional      Left       B
R20          IO_TE34N_1                                   Bidirectional      Left       B
N15          IO_TE35P_1,D0                                Bidirectional      Left       B
N14          IO_TE35N_1,D1                                Bidirectional      Left       B
U20          IO_TE36P_1                                   Bidirectional      Left       B
P17          IO_TE36N_1                                   Bidirectional      Left       B
V20          IO_TE37P_1                                   Bidirectional      Left       B
P16          IO_TE37N_1                                   Bidirectional      Left       B
P15          IO_TE38P_1                                   Bidirectional      Left       B
R16          IO_TE38N_1                                   Bidirectional      Left       B
V19          IO_TE39P_1                                   Bidirectional      Left       B
T17          IO_TE39N_1                                   Bidirectional      Left       B
T18          IO_TE40P_1                                   Bidirectional      Left       B
U19          IO_TE40N_1                                   Bidirectional      Left       B
U17          IO_TE41P_1                                   Bidirectional      Left       B
V17          IO_TE41N_1                                   Bidirectional      Left       B
R17          IO_TE42P_1                                   Bidirectional      Left       B
U18          IO_TE42N_1                                   Bidirectional      Left       B
K19          IO_TE18P_1,GCLKIOT_0_1                       Bidirectional      Left       B
K20          IO_TE18N_1,GCLKIOT_1_1                       Bidirectional      Left       B
L19          IO_TE22P_1,GCLKIOT_2_1                       Bidirectional      Left       B
L20          IO_TE22N_1,GCLKIOT_3_1                       Bidirectional      Left       B
C19          IO_TE3P_1,GPLL1IP_REF                        Bidirectional      Left       B
E17          IO_TE3N_1,GPLL1IN_REF                        Bidirectional      Left       B
D17          IO_TE1P_1,GPLL1IP_FDB                        Bidirectional      Left       B
C18          IO_TE1N_1,GPLL1IN_FDB                        Bidirectional      Left       B
L15          IO_TE25N_1                                   Bidirectional      Right      B
L14          IO_TE25P_1                                   Bidirectional      Right      B
M18          IO_TE24N_1                                   Bidirectional      Right      B
L16          IO_TE24P_1                                   Bidirectional      Right      B
K18          IO_TE23N_1                                   Bidirectional      Right      B
K17          IO_TE23P_1                                   Bidirectional      Right      B
J20          IO_TE21N_1                                   Bidirectional      Right      B
J19          IO_TE21P_1                                   Bidirectional      Right      B
H20          IO_TE20N_1                                   Bidirectional      Right      B
J17          IO_TE20P_1                                   Bidirectional      Right      B
H19          IO_TE19N_1                                   Bidirectional      Right      B
H18          IO_TE19P_1                                   Bidirectional      Right      B
K15          IO_TE17N_1                                   Bidirectional      Right      B
K14          IO_TE17P_1                                   Bidirectional      Right      B
L17          IO_TE16N_1                                   Bidirectional      Right      B
K16          IO_TE16P_1                                   Bidirectional      Right      B
J16          IO_TE15N_1                                   Bidirectional      Right      B
J18          IO_TE15P_1                                   Bidirectional      Right      B
H17          IO_TE14N_1                                   Bidirectional      Right      B
G19          IO_TE14P_1                                   Bidirectional      Right      B
G20          IO_TE13N_1                                   Bidirectional      Right      B
H16          IO_TE13P_1                                   Bidirectional      Right      B
E20          IO_TE12N_1                                   Bidirectional      Right      B
G17          IO_TE12P_1                                   Bidirectional      Right      B
E19          IO_TE11N_1                                   Bidirectional      Right      B
D20          IO_TE11P_1                                   Bidirectional      Right      B
D18          IO_TE4N_1                                    Bidirectional      Right      B
F16          IO_TE4P_1                                    Bidirectional      Right      B
G15          IO_TE2N_1                                    Bidirectional      Right      B
F15          IO_TE2P_1                                    Bidirectional      Right      B
F20          IO_TE10N_1                                   Bidirectional      Right      B
F19          IO_TE10P_1                                   Bidirectional      Right      B
J15          IO_TE9N_1                                    Bidirectional      Right      B
J14          IO_TE9P_1                                    Bidirectional      Right      B
F17          IO_TE8N_1                                    Bidirectional      Right      B
D19          IO_TE8P_1                                    Bidirectional      Right      B
C20          IO_TE7N_1                                    Bidirectional      Right      B
B20          IO_TE7P_1                                    Bidirectional      Right      B
F18          IO_TE6N_1                                    Bidirectional      Right      B
G16          IO_TE6P_1                                    Bidirectional      Right      B
H15          IO_TE5N_1                                    Bidirectional      Right      B
H14          IO_TE5P_1                                    Bidirectional      Right      B
P7           IO_R1P_2                                     Bidirectional      Left       C
R7           IO_R1N_2                                     Bidirectional      Left       C
P8           IO_R3P_2                                     Bidirectional      Left       C
R8           IO_R3N_2                                     Bidirectional      Left       C
T7           IO_R5P_2                                     Bidirectional      Left       C
T8           IO_R5N_2                                     Bidirectional      Left       C
P9           IO_R7P_2                                     Bidirectional      Left       C
R9           IO_R7N_2                                     Bidirectional      Left       C
W6           IO_R9P_2                                     Bidirectional      Left       C
Y6           IO_R9N_2                                     Bidirectional      Left       C
W8           IO_R11P_2                                    Bidirectional      Left       C
Y8           IO_R11N_2                                    Bidirectional      Left       C
V9           IO_R13P_2                                    Bidirectional      Left       C
T9           IO_R13N_2                                    Bidirectional      Left       C
P10          IO_R15P_2                                    Bidirectional      Left       C
R10          IO_R15N_2                                    Bidirectional      Left       C
Y11          IO_R17P_2                                    Bidirectional      Left       C
W11          IO_R17N_2                                    Bidirectional      Left       C
P11          IO_R19P_2                                    Bidirectional      Left       C
